"ensemble_forecast_posterior_2017","ensemble_forecast_posterior_2019","ensemble_forecast_posterior_2020","ensemble_forecast_posterior_2022","ensemble_forecast_posterior_2023"
7407.70667355991,8090.73442410022,4620.48176427225,3262.76061523777,1588.24310842585
8314.21743093517,6535.21425481262,5333.77379775626,3860.94807513208,1729.32499709844
10881.387074443,7970.64881034076,4744.96694427473,3616.04266728874,1766.6170601652
8650.82756338369,7345.8227946157,6935.92642849883,5326.18823209822,1847.79203772456
8597.94896303635,8122.55850599335,5328.55020090135,3254.9898552249,1909.78492577039
9499.83869170662,9621.43197993874,5019.98099420995,3797.67579502277,1937.52649711842
7973.22871019066,6013.52323745344,5812.12117964133,4350.5472192465,1971.04606157294
8336.14473437453,6580.78278415765,7173.63156225481,4965.94294012705,2053.35111485858
11501.5046148372,5895.27327485881,5158.66829544363,6189.04877636933,2072.4820899153
10437.1393808205,6685.48539244859,5626.07874753384,3427.78869380574,2101.8569007738
9439.50588119797,6426.91070935238,6665.77889913359,4599.74073607788,2125.1489068673
9122.90262936318,6108.63958835192,5615.9427870421,4185.29134826404,2144.23343576784
10817.2356949105,7757.66219281137,5133.20875687017,4112.58821108748,2161.19195104343
6978.7751184437,7019.9626994651,4548.24176515447,4522.94772205093,2184.83422876169
6367.60453121587,7086.73641983774,5894.96654221046,5688.63349541301,2206.40093395767
8411.25343205295,7154.01120621086,4968.95468510796,3460.32130416083,2226.08270754796
9829.05139361573,6939.44671700757,4958.00898630234,3309.23499030582,2232.44352924286
9129.9847896992,6685.07166599727,4953.89569141452,2609.37198751055,2244.31682802674
10243.7311084227,6448.42290816511,5702.81880202582,4660.91403182678,2262.42734527294
10013.2856741867,6767.52448899622,5211.22584658071,4336.39371320489,2270.13156547636
5904.86689337993,6561.19640995401,3848.73604687248,5459.08000647166,2276.71455054272
10723.2331173149,6815.96701236749,6739.51518796126,4446.42027008116,2282.04766051224
10912.6071672853,5853.76106869312,5005.35785068166,4127.0815148419,2295.81752655007
6855.29353412324,7828.08240472474,5227.73700483088,3985.6558563213,2304.99194740149
9323.91083153105,6652.77779245298,4138.75210042107,4933.1510743852,2313.42493552601
9280.71796786068,6441.17753440331,5056.61636222524,3294.63297670263,2317.81015966232
6838.65838064839,7529.44729575968,5552.28545547684,3341.29946510004,2334.69106290708
8874.02394228131,9542.63411754641,5207.3915711742,3598.32802998378,2343.50389516095
8624.96196037511,7760.14775201547,6217.65970795374,4108.43383282198,2347.99825594941
11058.4033228888,10143.9517536478,6358.18103804599,5262.52628604664,2352.66556236905
6836.42171602255,7500.04218405805,4693.98247385439,3538.45258764881,2363.12488990399
9792.82299018639,6173.62346483757,5919.90833913417,4342.84669567339,2369.31948764811
8073.95153295902,6661.07454611947,5806.82834867341,3636.50305438512,2380.10870923384
8852.8536077495,6556.62816721258,6068.87231710547,4416.4410996049,2386.67547905133
7390.21107201194,6948.81272913225,5580.11638939631,3430.06362493599,2396.74796999793
8482.85400116472,7273.71595687887,5287.98261750295,4683.17054499995,2399.89533425607
9987.01777901613,6736.41484842691,5474.67725174759,3026.22954385067,2408.71308905117
7279.26279366758,5880.08432992071,5592.06614069003,3688.32292321119,2413.11146402863
9934.52218857114,6244.67227467496,4445.84167186936,3377.44662554137,2420.82908046199
