"","rhat","neff","mean","sd","X2.5.","X25.","X50.","X75.","X97.5."
"E_BH_a",1.02003886717381,180.207716117661,2.14454001704345,1.12862816042799,0.514417664103605,1.24714772615729,2.00647256663275,2.90865993701327,4.29623761118532
"Rec[1,1]",1.0005780839984,3775.44739493308,355.156100629526,576.125574654227,0.261190394800478,32.4962024654366,150.603153708039,428.329227437829,1950.58877566911
"Rec[2,1]",1.00086948635406,4057.33706637108,160.706077963736,225.206344279967,0.15194421748712,18.3600823754648,74.0514893557834,210.536313095769,823.036412292549
"Rec[3,1]",1.00019469574963,4885.60905527779,47.0869700006013,63.1163481155888,0.0945818762170335,6.46621539226712,23.0356361559274,63.2069031058908,221.246439638978
"Rec[4,1]",1.00058529283897,4075.30577269821,262.595550447134,357.70684857419,0.330925414627623,32.5855901895176,128.338720554613,351.109170995365,1280.30205989123
"Rec[5,1]",1.00112386674268,3946.10835665044,162.798023069041,220.287527903756,0.388149309769691,22.2528690788149,82.1270704192285,218.114245849371,785.903257893975
"Rec[6,1]",0.999451563133869,4258.79247923167,117.049932222757,158.995785612003,0.141585744424021,13.9743675756485,57.692190108201,154.405067415709,573.912479080291
"Rec[7,1]",1.00011272969968,5000,310.75767117974,196.412245451194,54.135680719065,167.535269289782,267.710203385074,412.095657875937,797.890258358936
"Rec[8,1]",0.999960542625911,4671.7872427885,100.854992997652,81.2389246088886,7.43555089836366,41.8782611786351,79.3816925490109,139.619097099707,306.451974352675
"Rec[9,1]",1.00016673949027,3749.4248758525,30.9211985944915,41.0644105591611,0.0465741428771475,3.64073275562578,14.8702669907659,42.4019367188322,144.979276752347
"Rec[10,1]",1.00085360471536,4396.60812634064,46.5981084707898,60.2761568770475,0.116111361945718,6.35710868302626,23.8132456519343,65.3392056429781,211.347963514222
"Rec[11,1]",1.00014166852963,4383.97897076274,77.0016510385237,63.4954445659732,5.89391913169793,30.8782424245832,60.1419480850997,105.259919848561,243.754520674355
"Rec[12,1]",1.00027823930788,4187.71492412765,112.837222205246,148.366035706534,0.241376497444436,14.862523693822,56.5054453969321,152.106443818213,536.402685850276
"Rec[13,1]",0.999867451488832,4747.02373508803,47.2033889589712,64.4125530070181,0.0701951644700725,5.86164431822177,22.3349291235272,64.4214256816757,223.114604892614
"Rec[14,1]",1.00017992662291,4544.53671162761,269.819359242837,147.470577569946,64.1596826642604,163.618964013417,242.347268255116,348.651845830155,629.313091141847
"Rec[15,1]",0.999628035859424,4095.26370355386,41.61504229937,57.606707638735,0.0453211492665106,4.83289453504392,19.519512789309,54.39657630396,210.296123203403
"Rec[16,1]",1.00068255217641,4158.67884233901,85.5511128065012,123.542236843355,0.0871994900430657,9.68887667189958,40.7134218276484,113.034195631839,416.930451225664
"Rec[17,1]",0.999965772862995,5000,144.393387741905,125.566366813808,9.65189042720505,57.9473964394194,110.024748172563,195.251919658437,481.415934973752
"Rec[18,1]",0.999932121806293,4249.37976917298,74.4951618019886,102.352526455566,0.0544929679864704,8.35293630520035,35.7336596363602,98.2420352539595,372.328368660997
"Rec[19,1]",1.00126756601386,4331.65527053494,142.430511383364,199.155077383965,0.162359092356573,16.5589567349356,69.2442102373924,188.241447505791,698.408929491351
"Rec[20,1]",0.999432495672017,4437.03993732336,111.29134296867,151.31976716349,0.17502029612743,14.3041777235686,53.7338762789439,146.919076768279,544.438706354415
"Rec[21,1]",1.00005234869527,3771.56635081642,93.8231858952069,129.77319484943,0.149219700238499,11.1376565332907,46.1999502769979,124.021116591159,456.454262323724
"Rec[22,1]",1.00063958320164,3954.89197235536,98.7516112327719,133.493109220941,0.180460370079724,12.1166689430784,49.3709562771047,131.579399496895,477.739000709164
"Rec[23,1]",0.999824728461382,3276.28411671879,97.8107882783674,135.726031733936,0.156141376849584,11.8094105263985,47.7348262256486,131.221862381006,479.638782968768
"Rec[24,1]",0.999812223881172,3152.98297368546,46.7689263583211,63.7169021898311,0.115796708158535,5.6529618392055,22.6007537240511,61.3949232482184,232.378009311109
"Rec[25,1]",0.999890682674116,5000,124.625398898289,68.2550060684681,30.8093993736292,74.183783140739,112.331463473534,159.940931776236,291.942345255331
"Rec[26,1]",0.999809103820472,4746.25393409322,59.8954827781477,32.717724621074,14.040282821412,35.9700113540569,54.3791978336579,76.7382169456061,138.468342658262
"Rec[27,1]",1.00090809996383,3474.24834212678,8.09228390786298,10.8780222966472,0.0109797440661917,1.0082816437591,4.00533902922292,10.9102376519975,37.4299114075357
"Rec[28,1]",0.999607011829907,4727.04964028742,65.3666817300679,36.7622962212325,15.0574114941149,38.7608709462481,58.9072791659408,83.8481643121925,157.961542834838
"Rec[29,1]",1.00085475497686,4803.69094833524,95.2261831611202,44.0052017683088,30.6801059879087,63.5238954994824,87.9459612707046,118.768268080575,202.114695353639
"Rec[30,1]",1.00034550247859,5000,105.35334394562,52.3982632073331,30.5877777288514,67.7975032237611,96.0375490278212,133.582227968068,230.39483607473
"Rec[31,1]",0.99964168981969,5000,88.2914818733542,40.1396557743493,29.3720116331949,59.897924273681,82.6411198384281,109.226729947304,183.533276587741
"Rec[32,1]",1.00006422345601,4978.41498260207,201.922988035147,66.1422818097256,96.0014108726178,154.387108989945,194.664244645782,240.629669531918,353.443892917525
"Rec[33,1]",1.00092509523424,3847.69971668009,323.883309966153,106.805367834042,153.493548983478,245.688691905619,312.397233836522,384.563724297552,568.537836959962
"Rec[34,1]",1.0009793542491,4548.23674591695,173.51323694506,69.6633387749993,69.9170275083287,122.959994560549,161.646848231229,214.06154678425,332.166416487118
"Rec[35,1]",0.999604686591003,5000,180.300544853058,99.6738539768767,42.3162130092649,108.433993524781,161.968777889608,233.545128399404,423.962133212081
