"","Mean","SD","Naive.SE","Time.series.SE","X2.5.","X25.","X50.","X75.","X97.5.","ESS","Rhat"
"E_BH_a",1.49022607505768,0.969793150503695,0.0153337760741107,0.0351952679418373,0.268165674932304,0.707325859577995,1.22751826763231,2.14431163217168,3.69933012480764,890.371495907889,1.00250468498829
"Rec[1,1]",319.330159840689,615.933944725115,9.73877076771808,16.2248639579865,0.030509294462843,9.12295651388719,85.7877812440905,333.227876562064,2222.33314169559,479.972259873511,1.00052878305574
"Rec[2,1]",104.923507497838,194.563769426688,3.07632330768084,3.89827793869781,0.0013617890082445,3.69047773730157,30.1445505614997,118.678643398447,632.021643331797,416.039500931594,1.00083585811588
"Rec[3,1]",33.0009190489463,54.0038247305504,0.853875442545341,1.22796019100384,0.00261144726517042,1.65003935746267,11.2109251170097,40.8009649290758,191.264360546408,401.311671022284,1.00130505480968
"Rec[4,1]",251.69972630785,419.970247187729,6.64031265308573,13.4979581562565,0.00647504752956441,8.28164340670737,75.5749680682983,311.3459664183,1431.15042122191,279.560563239011,1.00188843805777
"Rec[5,1]",110.936713078658,186.050148531655,2.9417111418633,5.56087327301546,0.000505379926230862,4.79329650930846,34.2928698226408,131.103692327025,683.134931559963,173.17630372988,1.00744911225246
"Rec[6,1]",80.0767050361643,130.609201225655,2.06511279624163,4.18586083277649,0.00730492304358837,3.98626085767696,27.2102396028155,98.6807263036758,460.692153393469,367.565316001585,1.00070032375804
"Rec[7,1]",302.783880844748,196.352624804517,3.10460759467374,3.77120543498043,43.6160691976266,160.144399957248,261.577297540443,403.080962252706,804.010800960798,2254.58070899857,1.00053419799245
"Rec[8,1]",91.968440273066,79.5892831157074,1.25841705992809,1.60641894656126,5.63256552621806,35.083804910065,69.4879444617744,127.246612143265,302.168797606497,1599.88441958577,1.00062235410334
"Rec[9,1]",21.4742583745823,36.170214731727,0.571901310048167,1.17884513155113,0.00054530019928562,0.877564469248592,6.85249094127326,25.9065722297937,126.170535605422,155.794801939737,1.01188719039885
"Rec[10,1]",32.2757477402998,51.6991055370574,0.81743463245262,1.33657608088608,0.00126178577905726,1.42945587970011,11.0417730103045,40.8834537136069,182.494179391488,239.204160902924,0.999783352902912
"Rec[11,1]",66.6122360113898,57.3868769917913,0.907366195489862,1.09530762890822,3.85166490118536,24.9931917969914,50.5121879454419,91.9599980106209,217.810036904143,2126.79140025945,1.00010032870425
"Rec[12,1]",85.2019309702565,140.097382468997,2.21513411414887,3.74665129246687,8.96408992034828e-05,3.05561004197735,27.9419250422688,106.450815087096,476.579935836423,205.817423131466,0.999992380867144
"Rec[13,1]",36.4359721305939,61.4659378286787,0.971861810284646,1.61213497277423,0.000924940682570491,1.29102733992773,11.1377901010663,45.0489625429567,210.347190727795,337.446609917868,1.00625441212634
"Rec[14,1]",273.964310420102,156.66242862238,2.47705049110137,2.47765023958498,58.5351595952116,160.675314805539,242.096380830636,354.862647062255,657.89958311659,3635.58833109121,0.99984233563813
"Rec[15,1]",28.6367962104065,47.6348922137732,0.753173777460718,1.02737430218281,0.000133054327117621,1.06844616689469,9.21997168977732,34.4748947274287,167.112809304156,232.299961566263,1.00239834914472
"Rec[16,1]",68.3506932331547,119.709175908497,1.89276826346303,3.3460394047534,0.000922396046269111,2.58505707561983,18.8340442072772,79.5343825215254,419.452354605808,371.976480418721,1.00006108114314
"Rec[17,1]",146.441620312902,137.841009673002,2.17945772771994,2.43199055181237,7.50747016725067,49.7206872797226,105.789829867775,196.503363012491,504.432627972728,2762.36298545396,1.00034559939377
"Rec[18,1]",59.0151336951594,96.5999480325731,1.52737928818416,2.02080610082894,0.00624834318192551,2.96799467170351,19.9617626785218,73.2871692123619,347.382205213713,622.118759277472,1.00138241556083
"Rec[19,1]",111.125380763993,197.387743582744,3.12097425961378,4.23382983927264,0.000278913888140143,4.02163238337236,33.7591979131817,133.000358106079,648.220398657689,392.751845760272,1.00193085490891
"Rec[20,1]",92.3191094555599,152.511263320676,2.41141480461516,3.60439300086776,0.00696906902188268,4.03188447505881,31.0846128536547,111.858054608679,527.209455546327,458.19455092869,1.00344358778706
"Rec[21,1]",72.718134685295,113.802832039017,1.79938076710439,3.03354788986754,0.00672448952731339,3.50225546178221,25.7917573794431,94.1874574654936,395.132117118905,379.254977029081,1.00031141615368
"Rec[22,1]",76.4095666519969,130.084153914643,2.05681106933091,4.09108211384636,0.000513599428049509,3.10362545408442,22.9093259129759,90.3631817307514,462.935661747425,205.617908770427,1.01159558317678
