"","model","error","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","pseudo_bma_weight","forecast"
"2","B-H","AR1",0,0,-401.95,49.27,146.41,11.48,803.9,98.54,0.991573348475358,4999
"1","B-H","MA1_AR1",-16.07,10.16,-418.02,51.57,161.98,18.23,836.04,103.15,0.00842665152464228,2295
