"","rhat","neff","mean","sd","X2.5.","X25.","X50.","X75.","X97.5."
"pi_eta[3]",1.23029373970424,5.78643820822239,0.432709823578045,0.0229078530838029,0.393000523385614,0.422214577622992,0.434771333255574,0.444487316585276,0.479531309741837
"pi_eta[4]",1.32816572992725,4.68233685686381,0.142182146784816,0.0186250268837032,0.106977152850316,0.128807089267416,0.141126342740114,0.15492896538275,0.179693642971013
"pi_eta[5]",1.39331853953347,6.00629439056365,0.0296957502386201,0.00392231694666193,0.0194715701486358,0.0275879955707993,0.0303728485396413,0.0331164896053753,0.0349509311893147
"pi_eta[6]",1.62248010301512,5.10251802984356,0.0235863940891198,0.00575851503281824,0.0169887723458257,0.0188938765192036,0.0216551538170622,0.0251006067004069,0.0384607918780711
"pi_tau",1.22480589149563,7.66195556202627,24.2169220626579,3.23625509575103,17.6737117974846,22.1576213475536,24.2162865616194,26.3557492382965,30.1728949077534
"Rec[1,1]",1.93073791866518,2.98728306834348,120.736723467884,150.24567498528,1.0545736834138,7.94934417044564,53.7059877722085,192.628310945103,538.189713961228
"Rec[1,2]",1.32010933346536,7.66432348598157,2368.11764422478,1594.52653416322,525.707981551063,1374.08045462212,1925.33076655806,2772.00158377192,7264.39090942933
"Rec[1,3]",1.1875534372573,11.2294917593378,2546.51012542387,1036.15305859999,1260.87596135077,1866.21014085335,2260.93031881345,2984.39818638844,5513.08089172206
"Rec[1,4]",1.29960326771563,7.12573550650299,843.552953453538,591.863651724144,229.499472116072,481.933661165658,638.773315121952,1032.70299262932,2469.1431107216
"Rec[1,5]",2.06567226717885,2.85782414210701,67.6694259114941,79.4144989458203,2.81659986953033,7.24137133718657,26.9083116444357,123.773361727636,239.62400250952
"Rec[1,6]",1.38820878374869,4.66582275586352,82.0088492282331,78.1693336386028,1.87396413153831,28.0002091971116,56.4615704822878,125.771749479847,258.269698694853
"Rec[10,1]",1.21871208414377,6.72807926436208,22.6192897054719,17.2186372786076,3.28787980285899,11.33322699481,17.4496091360797,28.9076104235036,70.8736083676043
"Rec[10,2]",1.34095027812561,5.29483632585629,477.499290311726,172.171600811614,231.315960210588,347.552359221477,444.32456318281,585.560381800233,897.035527892302
"Rec[10,3]",1.43944141908687,3.75753956340468,1309.48024302173,492.290663501889,632.500582248932,915.181025459782,1203.26459365182,1577.03226443359,2410.2785874724
"Rec[10,4]",1.106375189495,32.5756764270233,766.551230763273,216.578611661828,431.041386878379,608.193076239209,747.822576414531,891.482129986031,1231.19206849131
"Rec[10,5]",1.78585811459504,2.87761110400547,38.2435542290238,42.4027333472469,3.76611409906592,8.53885590843383,23.2639799330135,49.7145203896947,160.611163906551
