"","rhat","neff","mean","sd","X2.5.","X25.","X50.","X75.","X97.5."
"Rec[25,1]",1.0071262607162,637.565206339501,129.161403371722,69.6920641440475,31.7561935657054,78.4622510528613,116.739594553244,165.500032091502,299.60449173708
"Rec[26,1]",1.00654146699178,668.167348779469,59.7200679272548,33.5402713429493,12.5824449891616,35.3237406582155,53.9766881499175,77.6049783536831,140.190100272066
"Rec[27,1]",1.07050216355888,124.998516590846,8.36849825138668,11.3242904719797,0.00600115255919338,0.934602311814031,4.10352111901838,11.211922829279,39.5346880382253
"Rec[28,1]",1.00314548329292,464.925097542333,65.5231445757444,37.9955158619858,13.9934089289492,37.8405221634301,58.3494526493355,85.0687932747291,158.61842203049
"Rec[29,1]",1.00108554305686,763.827059829648,94.4976562836082,41.6537816724928,34.5891507573926,64.2166197405677,87.5520840961536,117.141668310586,192.727391689346
"Rec[30,1]",1.01098022668883,347.894193332016,99.3528721688416,53.4306226012526,28.4988966241889,61.5030000458393,88.8629388542643,124.942025186416,231.831717588735
"Rec[31,1]",1.00653902690513,693.381501681285,88.4470984619129,39.1844392605098,31.0405789698676,60.2993106254253,82.2009541522081,108.985410935166,180.85403929867
"Rec[32,1]",1.00390772493352,1308.39399931476,202.810006037268,65.0192918016247,98.6750807152535,156.525238469614,195.271647961106,240.458026725069,351.15039980183
"Rec[33,1]",1.00356797059886,851.335395138428,326.420153693175,105.087209370416,152.249993906197,250.695584645103,315.710813808024,390.104699997251,557.505086821533
"Rec[34,1]",1.0017820516078,930.156259094723,173.704224435021,68.1016152593803,68.0783823873789,124.090819529453,164.467633819609,213.411879170227,330.615688534051
"Rec[35,1]",1.0017899131236,838.52609997968,187.567877540631,100.386400934012,45.53720070324,112.101061363506,169.975424272293,242.917186134887,433.151653318869
"Rec[36,1]",1.0474320086869,118.649177751927,32.536359951696,43.3552278442013,0.154289914781742,5.04085166124929,16.5470747928923,42.7259400193422,157.909684299849
"Rec[37,1]",1.00515195266967,1031.75157868768,153.927444535287,67.5159347291443,51.8793405715949,105.911194172431,143.140136473286,190.496118369902,315.510354382398
"Rec[38,1]",1.00952405147221,534.153945438546,112.344792372029,86.2089282731071,11.2086364314779,49.020087460546,91.4263335127268,152.103958226371,329.005037049831
"Rec[39,1]",1.00508515841605,888.641194689705,46.8460115898021,30.1716235597895,7.40923820646912,25.1406587193235,40.3595581983021,61.6343663534915,122.380320500397
"Rec[40,1]",1.00351682294611,742.641141104979,40.2081990975995,34.4751303619959,3.0616162200172,15.996479916516,31.0365121360181,53.8146662620036,130.011452312003
"Rec[41,1]",1.00131078879447,8549.40735567835,127.588445536028,190.070208178894,0.209934049370718,14.600220886293,59.1179334765667,159.581872969394,661.996087663123
"Rec[1,2]",1.00153602290795,1139.8609359934,4578.35817005741,1938.35292309884,1675.50690072188,3121.08150614771,4263.02981693987,5780.66262594145,9129.06646815387
"Rec[2,2]",1.00063780960134,4063.06364303392,2242.70456435304,514.523911166476,1347.7704055449,1889.98568181908,2201.48587609742,2545.16165215928,3387.52469154988
