"","year","0.025","0.5","0.975"
"1",1978,1.02855527241745,1.99497472337991,3.71749428642217
"2",1987,0.574355092187736,0.894048533330171,1.46533921547979
"3",1988,0.414952834830514,0.636509584009471,1.04841062257669
"4",1989,0.431445137816258,0.662460733215733,1.01053205238929
"5",1990,0.385737370729146,0.636659861171097,0.965364186510968
"6",1991,0.351579815374386,0.683515142216731,1.19760487834466
"7",1992,0.495590690602241,0.898029556749363,1.59581522188433
"8",1993,0.865902405332289,1.49993131981843,2.60765797431235
"9",1994,0.755920521071073,1.31230214417852,2.21885467865098
"10",1995,0.359707861582312,0.697489107441972,1.36205179216475
"11",1996,0.457892668593194,0.924753146756238,1.94279167293584
"12",1979,1.08420302227237,1.99679356706151,3.54296791894151
"13",1997,0.464520313199244,1.00637789274654,2.48620900082299
"14",1998,0.63273345450502,1.02017282791724,1.65513674514258
"15",1999,0.703375219914618,1.06664425876112,1.79859777688134
"16",2000,0.972490439890829,1.56522084685117,2.31257832827504
"17",2001,0.793381705903363,1.25058719929669,1.78504082475382
"18",2002,0.669606139737721,1.02956965625341,1.48112061762957
"19",2003,0.239113662733001,0.373387323918069,0.547861716599698
"20",2004,0.359876615527895,0.534610597730331,0.81288002881427
"21",2005,0.424369185671967,0.602766826111873,0.981973195210826
"22",2006,0.78689742790802,1.10375151409803,1.75712100302793
"23",1980,0.737466890705025,1.39955157278848,2.48385243696883
"24",2007,1.16832324916617,1.73300627998367,2.51978201778369
"25",2008,1.06877287555265,1.52854253575495,2.36622282909296
"26",2009,1.35260769884079,2.30045381781015,3.37674533457335
"27",2010,1.31469184606505,2.20256373607171,3.147109311814
"28",2011,0.974495707778098,1.48351687580206,2.12906492911169
"29",2012,0.811339101673702,1.21082189266546,1.75492768505132
"30",2013,0.450442672247392,0.655366254738817,1.01252035370354
"31",2014,0.363482191603795,0.535247208793522,0.841065345969447
"32",2015,0.283826350314143,0.416438514458477,0.676644909951857
"33",2016,0.500592849087774,0.721212556992326,1.15631553126529
"34",1981,1.85380437085818,3.32569793488517,5.35026938395098
"35",2017,0.341709063652292,0.546276742387354,0.885442931211289
"36",2018,0.5895637516904,1.04193840869604,1.9079454993766
"37",2019,0.557490115202689,1.28010640935074,3.07261029576166
"38",2020,0.541238661845982,1.4176511857934,3.77224070462413
"39",1982,0.876464500100335,1.40350064559755,2.36413755698539
"40",1983,0.915494930004303,1.44502867419461,2.18550534897815
"41",1984,1.32716687431801,2.04204732121497,2.97115603060921
"42",1985,0.963925686313185,1.41258639875524,2.19518235107171
"43",1986,0.752819282072618,1.09244445573235,1.78084962897984
